+9.28,+20.00
+9.47,+21.00
+10.10,+22.00
+10.47,+23.00
+10.89,+24.00
+11.38,+25.00
+11.81,+26.00
+12.31,+27.00
+12.68,+28.00
+13.18,+29.00
+13.56,+30.00
+14.02,+31.00
+14.57,+32.00
+14.93,+33.00
+15.39,+34.00
+16.02,+35.00
+16.62,+36.00
+16.76,+37.00
+17.39,+38.00
+17.93,+39.00
+16.61,+40.00
+17.12,+41.00
+17.68,+42.00
+18.63,+43.00
+19.68,+44.00
+20.39,+45.00
+19.95,+46.00
+21.53,+47.00
+22.12,+48.00
+22.30,+49.00
+23.00,+50.00
+23.54,+51.00
+23.93,+52.00
+23.84,+53.00
+22.70,+54.00
+24.62,+55.00
+25.94,+56.00
+25.54,+57.00
+26.79,+58.00
+27.34,+59.00
+27.52,+60.00
+27.78,+61.00
+28.23,+62.00
+28.89,+63.00
+29.21,+64.00
+29.63,+65.00
